Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,FQ [Flow]
Parameter Type,Flow
Time series name,tsm(CLA/730507/FQ/15m.Cmd.Runoff.C);Round(3)
Time series unit,m³/s
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m³/s],State of value,Interpolation,Runoff value [l/s/km²],State of runoff value,Interpolation of runoff value,Tags,Comments
01/12/2015 15:00:00,33.006,G,102,180.358254,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:15:00,31.736,G,102,173.420284,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:30:00,30.874,G,102,168.712539,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 15:45:00,30.099,G,102,164.476979,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:00:00,29.179,G,102,159.450219,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:15:00,28.648,G,102,156.546263,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:30:00,27.746,G,102,151.616887,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 16:45:00,26.708,G,102,145.944408,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:00:00,26.487,G,102,144.739932,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:15:00,25.83,G,102,141.150037,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:30:00,25.396,G,102,138.776455,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 17:45:00,25.108,G,102,137.202848,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:00:00,24.252,G,102,132.524367,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:15:00,24.04,G,102,131.36471,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:30:00,23.688,G,102,129.44084,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 18:45:00,23.268,G,102,127.146915,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:00:00,22.851,G,102,124.869103,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:15:00,22.575,G,102,123.359545,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:30:00,22.231,G,102,121.482737,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:45:00,22.026,G,102,120.362074,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:00:00,21.618,G,102,118.132985,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:15:00,21.348,G,102,116.656018,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:30:00,21.415,G,102,117.024576,G,102,WR,WR,within rating;within rating;vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
