Station name,Victoria Bridge - Old
Station number,"730507"
External number,---
River,River Kent
Operator,---
NGR,SD5179193065
Easting,"351791"
Northing,"493065"
Parameter-name,SG [Stage]
Parameter Type,Stage
Time series name,tsm(CLA/730507/SG/15m.Cmd.RelAbs.P);Round(3)
Time series unit,m
Time level,High-resolution
Time series type,Other
Equidistant time series,yes
Time series value distance,15 minute
Time series quality,Production
Time series measuring method,---
Period of record in file: 01/12/2015 00:00:00 to 01/01/2016 00:00:00
Quality code description, G = good; E = estimated; S = suspect; U = unchecked; M = missing; C = complete; I = incomplete; Ed = edited; WR = within rating; NR = no rating; EX> = extrapolated upper part; EX< = extrapolated lower part; BL> = beyond upper limit; BL< = beyond lower limit; MH = weir modular (head); NH = weir non modular (head); EH = weir extremely non modular (head); MT = weir modular (tail); NT = weir non modular (tail); ET = weir extremely non modular (tail); MC = weir modular (crest); NC = weir non modular (crest); EC = weir extremely non modular (crest); -H = weir head only; RAS = rastered time stamp; A = apportioned/interpolated; D = dry; SN = snow; T = trace
Time stamp,Value [m],State of value,Interpolation,Absolute value [mAOD],State of absolute value,Interpolation of absolute value,Tags,Comments
01/12/2015 19:15:00,1.667,G;Ed,102,42.507,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:30:00,1.662,G;Ed,102,42.502,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 19:45:00,1.659,G;Ed,102,42.499,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:00:00,1.653,G;Ed,102,42.493,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:15:00,1.649,G;Ed,102,42.489,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:30:00,1.65,G;Ed,102,42.49,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 20:45:00,1.641,G;Ed,102,42.481,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:00:00,1.641,G;Ed,102,42.481,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:15:00,1.633,G;Ed,102,42.473,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:30:00,1.631,G;Ed,102,42.471,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 21:45:00,1.628,G;Ed,102,42.468,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:00:00,1.626,G;Ed,102,42.466,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:15:00,1.621,G;Ed,102,42.461,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:30:00,1.616,G;Ed,102,42.456,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 22:45:00,1.613,G;Ed,102,42.453,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:00:00,1.614,G;Ed,102,42.454,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:15:00,1.611,G;Ed,102,42.451,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:30:00,1.611,G;Ed,102,42.451,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
01/12/2015 23:45:00,1.606,G;Ed,102,42.446,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:00:00,1.604,G;Ed,102,42.444,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:15:00,1.597,G;Ed,102,42.437,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:30:00,1.596,G;Ed,102,42.436,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 00:45:00,1.6,G;Ed,102,42.44,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:00:00,1.595,G;Ed,102,42.435,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:15:00,1.591,G;Ed,102,42.431,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:30:00,1.588,G;Ed,102,42.428,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 01:45:00,1.587,G;Ed,102,42.427,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:00:00,1.581,G;Ed,102,42.421,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:15:00,1.582,G;Ed,102,42.422,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:30:00,1.58,G;Ed,102,42.42,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 02:45:00,1.58,G;Ed,102,42.42,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
02/12/2015 03:00:00,1.572,G;Ed,102,42.412,G,102,,vertikal shift by 0.01 and end shift by 0.01. PTX shifted to tie in with new site at low levels.
